process,systematic,variation,bin,edge_lo,edge_hi,value
Other,Higgs_CMS_pileup,Down,15,0.022087249077993153,0.04393358703334,2.4965196383397945
Other,Higgs_CMS_pileup,Down,16,0.04393358703334,0.10073404070562539,5.515364902083784
Other,Higgs_CMS_pileup,Down,17,0.10073404070562539,0.23767632438315117,8.948928900464587
Other,Higgs_CMS_pileup,Down,18,0.23767632438315117,0.4957539730742803,14.029128876516197
Other,Higgs_CMS_pileup,Down,19,0.4957539730742803,1.0,23.179075351812834
Other,Higgs_CMS_pileup,Up,0,0.0,0.0009567917389306952,0.0202454348606928
Other,Higgs_CMS_pileup,Up,1,0.0009567917389306952,0.0011761846848516988,0.022066041770784132
Other,Higgs_CMS_pileup,Up,2,0.0011761846848516988,0.0014056492364034057,0.02790155000752332
Other,Higgs_CMS_pileup,Up,3,0.0014056492364034057,0.0016879615058736856,0.031569625117382
Other,Higgs_CMS_pileup,Up,4,0.0016879615058736856,0.002029518495153339,0.03796221123169401
Other,Higgs_CMS_pileup,Up,5,0.002029518495153339,0.0024498090280613213,0.04797983585217239
Other,Higgs_CMS_pileup,Up,6,0.0024498090280613213,0.0029563838476912704,0.060199387186108844
Other,Higgs_CMS_pileup,Up,7,0.0029563838476912704,0.003557510286689314,0.06727240837035389
Other,Higgs_CMS_pileup,Up,8,0.003557510286689314,0.004267894997991053,0.07470588706997427
Other,Higgs_CMS_pileup,Up,9,0.004267894997991053,0.0050779368864586815,0.0813527987466669
Other,Higgs_CMS_pileup,Up,10,0.0050779368864586815,0.006105206239196243,0.08155469201592358
Other,Higgs_CMS_pileup,Up,11,0.006105206239196243,0.007522517248260182,0.09327834211625352
Other,Higgs_CMS_pileup,Up,12,0.007522517248260182,0.009719243336259968,0.11409999750086264
Other,Higgs_CMS_pileup,Up,13,0.009719243336259968,0.013643487834444395,0.2038713984892665
Other,Higgs_CMS_pileup,Up,14,0.013643487834444395,0.022087249077993153,0.6751801904549094
Other,Higgs_CMS_pileup,Up,15,0.022087249077993153,0.04393358703334,2.4378216073625847
Other,Higgs_CMS_pileup,Up,16,0.04393358703334,0.10073404070562539,5.417466830784223
Other,Higgs_CMS_pileup,Up,17,0.10073404070562539,0.23767632438315117,8.741092953529824
Other,Higgs_CMS_pileup,Up,18,0.23767632438315117,0.4957539730742803,13.693679671048432
Other,Higgs_CMS_pileup,Up,19,0.4957539730742803,1.0,22.764231485102417
Other,Higgs_lhe_alphaS,Down,0,0.0,0.0009567917389306952,0.020050984241820304
Other,Higgs_lhe_alphaS,Down,1,0.0009567917389306952,0.0011761846848516988,0.02256221671247004
Other,Higgs_lhe_alphaS,Down,2,0.0011761846848516988,0.0014056492364034057,0.02714354086142702
Other,Higgs_lhe_alphaS,Down,3,0.0014056492364034057,0.0016879615058736856,0.030935176477299556
Other,Higgs_lhe_alphaS,Down,4,0.0016879615058736856,0.002029518495153339,0.035727645203728384
Other,Higgs_lhe_alphaS,Down,5,0.002029518495153339,0.0024498090280613213,0.04751418886041767
Other,Higgs_lhe_alphaS,Down,6,0.0024498090280613213,0.0029563838476912704,0.05866439985987976
Other,Higgs_lhe_alphaS,Down,7,0.0029563838476912704,0.003557510286689314,0.06502806023729418
Other,Higgs_lhe_alphaS,Down,8,0.003557510286689314,0.004267894997991053,0.07335168127319164
Other,Higgs_lhe_alphaS,Down,9,0.004267894997991053,0.0050779368864586815,0.07913075193748437
Other,Higgs_lhe_alphaS,Down,10,0.0050779368864586815,0.006105206239196243,0.08132920866673204
Other,Higgs_lhe_alphaS,Down,11,0.006105206239196243,0.007522517248260182,0.09411077683122615
Other,Higgs_lhe_alphaS,Down,12,0.007522517248260182,0.009719243336259968,0.11539241561199798
Other,Higgs_lhe_alphaS,Down,13,0.009719243336259968,0.013643487834444395,0.20148414535076564
Other,Higgs_lhe_alphaS,Down,14,0.013643487834444395,0.022087249077993153,0.6655245727204915
Other,Higgs_lhe_alphaS,Down,15,0.022087249077993153,0.04393358703334,2.3996881016626275
Other,Higgs_lhe_alphaS,Down,16,0.04393358703334,0.10073404070562539,5.318721628393949
Other,Higgs_lhe_alphaS,Down,17,0.10073404070562539,0.23767632438315117,8.604621852414345
Other,Higgs_lhe_alphaS,Down,18,0.23767632438315117,0.4957539730742803,13.493342652082006
Other,Higgs_lhe_alphaS,Down,19,0.4957539730742803,1.0,22.352790017124555
Other,Higgs_lhe_alphaS,Up,0,0.0,0.0009567917389306952,0.0210052438999127
Other,Higgs_lhe_alphaS,Up,1,0.0009567917389306952,0.0011761846848516988,0.023675726816552355
Other,Higgs_lhe_alphaS,Up,2,0.0011761846848516988,0.0014056492364034057,0.028557817414572848
Other,Higgs_lhe_alphaS,Up,3,0.0014056492364034057,0.0016879615058736856,0.03240897902096601
Other,Higgs_lhe_alphaS,Up,4,0.0016879615058736856,0.002029518495153339,0.03740315753772011
Other,Higgs_lhe_alphaS,Up,5,0.002029518495153339,0.0024498090280613213,0.04981134732654688
Other,Higgs_lhe_alphaS,Up,6,0.0024498090280613213,0.0029563838476912704,0.061427615944231156
Other,Higgs_lhe_alphaS,Up,7,0.0029563838476912704,0.003557510286689314,0.06811221592213923
Other,Higgs_lhe_alphaS,Up,8,0.003557510286689314,0.004267894997991053,0.07697638131992685
Other,Higgs_lhe_alphaS,Up,9,0.004267894997991053,0.0050779368864586815,0.08289806662924326
Other,Higgs_lhe_alphaS,Up,10,0.0050779368864586815,0.006105206239196243,0.08543123287174637
Other,Higgs_lhe_alphaS,Up,11,0.006105206239196243,0.007522517248260182,0.09893146989346135
Other,Higgs_lhe_alphaS,Up,12,0.007522517248260182,0.009719243336259968,0.12129339972021702
Other,Higgs_lhe_alphaS,Up,13,0.009719243336259968,0.013643487834444395,0.21238901272103317
Other,Higgs_lhe_alphaS,Up,14,0.013643487834444395,0.022087249077993153,0.70236812750663
Other,Higgs_lhe_alphaS,Up,15,0.022087249077993153,0.04393358703334,2.5359600788406533
Other,Higgs_lhe_alphaS,Up,16,0.04393358703334,0.10073404070562539,5.6207182729197935
Other,Higgs_lhe_alphaS,Up,17,0.10073404070562539,0.23767632438315117,9.08809294475991
Other,Higgs_lhe_alphaS,Up,18,0.23767632438315117,0.4957539730742803,14.241109280118799
Other,Higgs_lhe_alphaS,Up,19,0.4957539730742803,1.0,23.579442952547886
Other,Higgs_ps_fsr,Down,0,0.0,0.0009567917389306952,0.020279591056568434
Other,Higgs_ps_fsr,Down,1,0.0009567917389306952,0.0011761846848516988,0.022398231244917095
Other,Higgs_ps_fsr,Down,2,0.0011761846848516988,0.0014056492364034057,0.02684402203667973
Other,Higgs_ps_fsr,Down,3,0.0014056492364034057,0.0016879615058736856,0.03226699773982793
Other,Higgs_ps_fsr,Down,4,0.0016879615058736856,0.002029518495153339,0.03966708166637764
Other,Higgs_ps_fsr,Down,5,0.002029518495153339,0.0024498090280613213,0.047554040509264345
Other,Higgs_ps_fsr,Down,6,0.0024498090280613213,0.0029563838476912704,0.06699495801881081
Other,Higgs_ps_fsr,Down,7,0.0029563838476912704,0.003557510286689314,0.06661771801587779
Other,Higgs_ps_fsr,Down,8,0.003557510286689314,0.004267894997991053,0.07428261283079562
Other,Higgs_ps_fsr,Down,9,0.004267894997991053,0.0050779368864586815,0.07686487105343043
